"      cube"

"Time      "	"ORIENT_REF_MARKER_euler_par_1.Q"	"ORIENT_REF_MARKER_euler_par_2.Q"	"ORIENT_REF_MARKER_euler_par_3.Q"	"ORIENT_REF_MARKER_euler_par_4.Q"	"REF_MARKER_acl_x.Q"	"REF_MARKER_acl_y.Q"	"REF_MARKER_acl_z.Q"	"REF_MARKER_angacl_x.Q"	"REF_MARKER_angacl_y.Q"	"REF_MARKER_angacl_z.Q"	"REF_MARKER_angvel_x.Q"	"REF_MARKER_angvel_y.Q"	"REF_MARKER_angvel_z.Q"	"REF_MARKER_force_x.Q"	"REF_MARKER_force_y.Q"	"REF_MARKER_force_z.Q"	"J4_f_x.Q  "	"J4_f_y.Q  "	"J4_f_z.Q  "	"J5_fx.Q   "	"J5_fy.Q   "	"J5_fz.Q   "	"J6_fx.Q   "	"J6_fy.Q   "	"J6_fz.Q   "	"SFORCE_1.FX"	"SFORCE_1.FY"	"SFORCE_1.FZ"
0.000000e+00	1.000000e+00	0.000000e+00	-0.000000e+00	-1.722546e-16	-1.466451e-01	1.021905e-01	1.056508e-01	2.073051e-01	-3.270337e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-3.813834e+02	3.263082e+04	-3.209146e+04	-3.813834e+02	3.263082e+04	-3.209146e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.885292e+03	-2.516999e-12	5.440673e-13
1.565558e-02	9.999995e-01	1.679712e-05	-7.246026e-04	7.479693e-04	-1.302376e-01	1.640501e-01	1.681598e-01	2.121384e-01	-1.126979e+01	1.495865e-01	3.180435e-03	-1.452870e-01	1.495865e-01	-3.765580e+02	3.256460e+04	-3.203045e+04	-3.765580e+02	3.256460e+04	-3.203045e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.999947e+04	4.487671e+01	4.347622e+01
3.131115e-02	9.999940e-01	5.560098e-05	-2.406613e-03	2.479610e-03	-8.125160e-02	4.425762e-01	4.507910e-01	1.990257e-01	-2.786271e+00	2.598800e-01	6.384777e-03	-2.521948e-01	2.598800e-01	-3.636241e+02	3.218532e+04	-3.167074e+04	-3.636241e+02	3.218532e+04	-3.167074e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.731801e+03	4.330135e+01	4.203129e+01
4.696673e-02	9.999800e-01	1.162443e-04	-4.399764e-03	4.540122e-03	-3.438795e-02	3.389091e-01	3.442300e-01	1.728466e-01	8.316684e-01	2.912233e-01	9.471094e-03	-2.813256e-01	2.912233e-01	-3.536405e+02	3.227377e+04	-3.178495e+04	-3.536405e+02	3.227377e+04	-3.178495e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.190967e+02	1.989347e+00	1.928295e+00
6.262231e-02	9.999561e-01	1.992026e-04	-6.512416e-03	6.731233e-03	2.815912e-02	3.479038e-01	3.514051e-01	1.442991e-01	1.291507e+00	2.882476e-01	1.210036e-02	-2.775538e-01	2.882476e-01	-3.411267e+02	3.221900e+04	-3.177359e+04	-3.411267e+02	3.221900e+04	-3.177359e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.739229e-01	6.379799e-03	6.174865e-03
7.827789e-02	9.999239e-01	3.009152e-04	-8.569979e-03	8.868374e-03	6.846252e-02	2.117148e-01	2.113191e-01	1.105486e-01	1.619169e+00	2.695505e-01	1.417294e-02	-2.593956e-01	2.695505e-01	-3.312866e+02	3.233993e+04	-3.194892e+04	-3.312866e+02	3.233993e+04	-3.194892e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	8.837301e-05	1.582432e-06	1.525635e-06
9.393346e-02	9.998885e-01	4.184437e-04	-1.037151e-02	1.073327e-02	7.178913e-02	1.074456e-02	8.588341e-03	7.399963e-02	1.863967e+00	2.382130e-01	1.544452e-02	-2.302090e-01	2.382130e-01	-3.253473e+02	3.252516e+04	-3.219623e+04	-3.253473e+02	3.252516e+04	-3.219623e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.211025e-08	3.430157e-07	2.828486e-07
1.095890e-01	9.998531e-01	5.419156e-04	-1.191168e-02	1.231262e-02	1.097305e-01	1.666475e-02	1.353611e-02	3.245925e-02	2.130391e+00	2.017172e-01	1.606527e-02	-1.968500e-01	2.017172e-01	-3.209478e+02	3.244718e+04	-3.218529e+04	-3.209478e+02	3.244718e+04	-3.218529e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.324679e-14	-4.702033e-13	-3.869011e-13
1.252446e-01	9.998208e-01	6.665630e-04	-1.316931e-02	1.358081e-02	1.143139e-01	-8.341558e-02	-8.732067e-02	-5.515768e-03	2.303439e+00	1.619457e-01	1.607911e-02	-1.607810e-01	1.619457e-01	-3.223594e+02	3.250367e+04	-3.230542e+04	-3.223594e+02	3.250367e+04	-3.230542e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-4.337337e-17	8.742609e-16	7.085166e-16
1.409002e-01	9.997944e-01	7.878986e-04	-1.412923e-02	1.452021e-02	1.100739e-01	-1.700670e-01	-1.739298e-01	-4.021441e-02	2.427400e+00	1.199186e-01	1.553037e-02	-1.227707e-01	1.199186e-01	-3.280747e+02	3.254661e+04	-3.240606e+04	-3.280747e+02	3.254661e+04	-3.240606e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-1.968378e-15	-5.715453e-17	-5.570316e-17
1.565558e-01	9.997760e-01	9.019139e-04	-1.478179e-02	1.512055e-02	1.000120e-01	-2.382425e-01	-2.414982e-01	-7.023442e-02	2.506292e+00	7.657782e-02	1.448751e-02	-8.352491e-02	7.657782e-02	-3.377945e+02	3.257358e+04	-3.248156e+04	-3.377945e+02	3.257358e+04	-3.248156e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-3.893383e-15	-9.885700e-16	-8.199229e-16
1.722114e-01	9.997669e-01	1.005224e-03	-1.512246e-02	1.537836e-02	8.666607e-02	-2.846898e-01	-2.870926e-01	-9.462839e-02	2.543597e+00	3.279397e-02	1.303600e-02	-4.369517e-02	3.279397e-02	-3.510621e+02	3.258375e+04	-3.252875e+04	-3.510621e+02	3.258375e+04	-3.252875e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-5.818388e-15	-1.919985e-15	-1.584143e-15
1.878669e-01	9.997676e-01	1.095162e-03	-1.515150e-02	1.529658e-02	7.179435e-02	-3.078014e-01	-3.093980e-01	-1.128846e-01	2.541737e+00	-1.061635e-02	1.127136e-02	-3.894921e-03	-1.061635e-02	-3.673169e+02	3.257734e+04	-3.254651e+04	-3.673169e+02	3.257734e+04	-3.254651e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-7.743393e-15	-2.851401e-15	-2.348362e-15
2.035225e-01	9.997779e-01	1.169817e-03	-1.487379e-02	1.488425e-02	5.624273e-02	-3.074623e-01	-3.084956e-01	-1.248888e-01	2.501881e+00	-5.286915e-02	9.292788e-03	3.528066e-02	-5.286915e-02	-3.859280e+02	3.255519e+04	-3.253538e+04	-3.859280e+02	3.255519e+04	-3.253538e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-9.668398e-15	-3.782816e-15	-3.112582e-15
2.191781e-01	9.997968e-01	1.228043e-03	-1.429889e-02	1.415647e-02	3.996794e-02	-2.849405e-01	-2.857173e-01	-1.308755e-01	2.424026e+00	-9.319356e-02	7.197599e-03	7.323641e-02	-9.319356e-02	-4.062066e+02	3.251859e+04	-3.249734e+04	-4.062066e+02	3.251859e+04	-3.249734e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.161589e-16	-4.714232e-15	-3.876802e-15
2.348337e-01	9.998226e-01	1.269415e-03	-1.344110e-02	1.313433e-02	2.219292e-02	-2.428209e-01	-2.435806e-01	-1.313738e-01	2.307319e+00	-1.308189e-01	5.076434e-03	1.093639e-01	-1.308189e-01	-4.274007e+02	3.246927e+04	-3.243570e+04	-4.274007e+02	3.246927e+04	-3.243570e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.010072e-14	-5.645647e-15	-4.641022e-15
2.504892e-01	9.998531e-01	1.294168e-03	-1.231962e-02	1.184499e-02	1.677400e-03	-1.849500e-01	-1.857670e-01	-1.271480e-01	2.150587e+00	-1.649725e-01	3.009385e-03	1.430363e-01	-1.649725e-01	-4.486789e+02	3.240963e+04	-3.235514e+04	-4.486789e+02	3.240963e+04	-3.235514e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	2.978576e-16	-6.577063e-15	-5.405242e-15
2.661448e-01	9.998858e-01	1.303106e-03	-1.095866e-02	1.032156e-02	-2.291564e-02	-1.163332e-01	-1.170772e-01	-1.191344e-01	1.953035e+00	-1.948906e-01	1.062978e-03	1.736147e-01	-1.948906e-01	-4.691132e+02	3.234303e+04	-3.226171e+04	-4.691132e+02	3.234303e+04	-3.226171e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	-9.505001e-15	-7.508478e-15	-6.169461e-15
2.818004e-01	9.999181e-01	1.297489e-03	-9.387405e-03	8.602879e-03	-5.259409e-02	-4.291402e-02	-4.327879e-02	-1.083718e-01	1.715055e+00	-2.198454e-01	-7.119169e-04	2.004663e-01	-2.198454e-01	-4.876673e+02	3.227388e+04	-3.216280e+04	-4.876673e+02	3.227388e+04	-3.216280e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	3.851178e-16	-8.439894e-15	-6.933681e-15
2.974560e-01	9.999473e-01	1.278919e-03	-7.639696e-03	6.732850e-03	-8.761651e-02	2.882141e-02	2.922924e-02	-9.592678e-02	1.438995e+00	-2.391854e-01	-2.281169e-03	2.229950e-01	-2.391854e-01	-5.032003e+02	3.220765e+04	-3.206670e+04	-5.032003e+02	3.220765e+04	-3.206670e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.027524e-14	-9.371309e-15	-7.697901e-15
3.131115e-01	9.999713e-01	1.249208e-03	-5.753471e-03	4.759515e-03	-1.271714e-01	9.243093e-02	9.396794e-02	-8.281450e-02	1.129719e+00	-2.523849e-01	-3.627363e-03	2.406812e-01	-2.523849e-01	-5.144876e+02	3.215042e+04	-3.198202e+04	-5.144876e+02	3.215042e+04	-3.198202e+04	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	4.678080e-16	-4.053213e-18	-8.462121e-15
