"      test"

"Time      "	"part2_q0  "	"part2_q1  "	"part2_q2  "	"part2_q03 "	".PART_2.CM_Position.X"	".PART_2.CM_Position.Y"	".PART_2.CM_Position.Z"
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	4.978996e-17	-4.000000e-01	5.000000e-01	-1.530808e-17
1.213307e-02	9.999798e-01	0.000000e+00	0.000000e+00	-6.352673e-03	-4.000282e-01	4.955532e-01	-1.530808e-17
2.426614e-02	9.999193e-01	0.000000e+00	0.000000e+00	-1.270463e-02	-4.001130e-01	4.911075e-01	-1.530808e-17
3.639922e-02	9.998184e-01	0.000000e+00	0.000000e+00	-1.905527e-02	-4.002542e-01	4.866637e-01	-1.530808e-17
4.853229e-02	9.996773e-01	0.000000e+00	0.000000e+00	-2.540413e-02	-4.004518e-01	4.822229e-01	-1.530808e-17
6.066536e-02	9.994958e-01	0.000000e+00	0.000000e+00	-3.175093e-02	-4.007057e-01	4.777856e-01	-1.530808e-17
7.279843e-02	9.992741e-01	0.000000e+00	0.000000e+00	-3.809544e-02	-4.010159e-01	4.733526e-01	-1.530808e-17
8.493151e-02	9.990122e-01	0.000000e+00	0.000000e+00	-4.443739e-02	-4.013823e-01	4.689246e-01	-1.530808e-17
9.706458e-02	9.987100e-01	0.000000e+00	0.000000e+00	-5.077653e-02	-4.018048e-01	4.645023e-01	-1.530808e-17
1.091977e-01	9.983677e-01	0.000000e+00	0.000000e+00	-5.711260e-02	-4.022833e-01	4.600864e-01	-1.530808e-17
1.213307e-01	9.979853e-01	0.000000e+00	0.000000e+00	-6.344536e-02	-4.028177e-01	4.556777e-01	-1.530808e-17
1.334638e-01	9.975628e-01	0.000000e+00	0.000000e+00	-6.977455e-02	-4.034079e-01	4.512769e-01	-1.530808e-17
1.455969e-01	9.971002e-01	0.000000e+00	0.000000e+00	-7.609992e-02	-4.040538e-01	4.468845e-01	-1.530808e-17
1.577299e-01	9.965976e-01	0.000000e+00	0.000000e+00	-8.242121e-02	-4.047553e-01	4.425015e-01	-1.530808e-17
1.698630e-01	9.960550e-01	0.000000e+00	0.000000e+00	-8.873818e-02	-4.055121e-01	4.381283e-01	-1.530808e-17
1.819961e-01	9.954724e-01	0.000000e+00	0.000000e+00	-9.505056e-02	-4.063242e-01	4.337659e-01	-1.530808e-17
1.941292e-01	9.948500e-01	0.000000e+00	0.000000e+00	-1.013581e-01	-4.071914e-01	4.294147e-01	-1.530808e-17
2.062622e-01	9.941877e-01	0.000000e+00	0.000000e+00	-1.076606e-01	-4.081136e-01	4.250756e-01	-1.530808e-17
2.183953e-01	9.934856e-01	0.000000e+00	0.000000e+00	-1.139577e-01	-4.090905e-01	4.207492e-01	-1.530808e-17
2.305284e-01	9.927437e-01	0.000000e+00	0.000000e+00	-1.202493e-01	-4.101219e-01	4.164363e-01	-1.530808e-17
2.426614e-01	9.919621e-01	0.000000e+00	0.000000e+00	-1.265350e-01	-4.112078e-01	4.121374e-01	-1.530808e-17
2.547945e-01	9.911409e-01	0.000000e+00	0.000000e+00	-1.328146e-01	-4.123478e-01	4.078534e-01	-1.530808e-17
2.669276e-01	9.902800e-01	0.000000e+00	0.000000e+00	-1.390880e-01	-4.135418e-01	4.035848e-01	-1.530808e-17
2.790607e-01	9.893796e-01	0.000000e+00	0.000000e+00	-1.453547e-01	-4.147896e-01	3.993323e-01	-1.530808e-17
2.911937e-01	9.884397e-01	0.000000e+00	0.000000e+00	-1.516146e-01	-4.160909e-01	3.950967e-01	-1.530808e-17
3.033268e-01	9.874603e-01	0.000000e+00	0.000000e+00	-1.578674e-01	-4.174455e-01	3.908785e-01	-1.530808e-17
3.154599e-01	9.864416e-01	0.000000e+00	0.000000e+00	-1.641129e-01	-4.188531e-01	3.866785e-01	-1.530808e-17
3.275930e-01	9.853835e-01	0.000000e+00	0.000000e+00	-1.703509e-01	-4.203136e-01	3.824973e-01	-1.530808e-17
3.397260e-01	9.842861e-01	0.000000e+00	0.000000e+00	-1.765810e-01	-4.218266e-01	3.783356e-01	-1.530808e-17
3.518591e-01	9.831495e-01	0.000000e+00	0.000000e+00	-1.828031e-01	-4.233919e-01	3.741941e-01	-1.530808e-17
3.639922e-01	9.819738e-01	0.000000e+00	0.000000e+00	-1.890168e-01	-4.250092e-01	3.700733e-01	-1.530808e-17
3.761252e-01	9.807591e-01	0.000000e+00	0.000000e+00	-1.952220e-01	-4.266782e-01	3.659739e-01	-1.530808e-17
3.882583e-01	9.795053e-01	0.000000e+00	0.000000e+00	-2.014185e-01	-4.283986e-01	3.618967e-01	-1.530808e-17
4.003914e-01	9.782126e-01	0.000000e+00	0.000000e+00	-2.076059e-01	-4.301701e-01	3.578421e-01	-1.530808e-17
4.125245e-01	9.768810e-01	0.000000e+00	0.000000e+00	-2.137840e-01	-4.319925e-01	3.538110e-01	-1.530808e-17
4.246575e-01	9.755106e-01	0.000000e+00	0.000000e+00	-2.199525e-01	-4.338654e-01	3.498038e-01	-1.530808e-17
4.367906e-01	9.741015e-01	0.000000e+00	0.000000e+00	-2.261114e-01	-4.357884e-01	3.458212e-01	-1.530808e-17
4.489237e-01	9.726537e-01	0.000000e+00	0.000000e+00	-2.322602e-01	-4.377614e-01	3.418639e-01	-1.530808e-17
4.610568e-01	9.711674e-01	0.000000e+00	0.000000e+00	-2.383987e-01	-4.397838e-01	3.379324e-01	-1.530808e-17
4.731898e-01	9.696425e-01	0.000000e+00	0.000000e+00	-2.445268e-01	-4.418554e-01	3.340275e-01	-1.530808e-17
4.853229e-01	9.680793e-01	0.000000e+00	0.000000e+00	-2.506442e-01	-4.439758e-01	3.301496e-01	-1.530808e-17
4.974560e-01	9.664777e-01	0.000000e+00	0.000000e+00	-2.567506e-01	-4.461446e-01	3.262994e-01	-1.530808e-17
5.095890e-01	9.648379e-01	0.000000e+00	0.000000e+00	-2.628458e-01	-4.483615e-01	3.224775e-01	-1.530808e-17
5.217221e-01	9.631598e-01	0.000000e+00	0.000000e+00	-2.689296e-01	-4.506262e-01	3.186845e-01	-1.530808e-17
5.338552e-01	9.614438e-01	0.000000e+00	0.000000e+00	-2.750016e-01	-4.529381e-01	3.149210e-01	-1.530808e-17
5.459883e-01	9.596897e-01	0.000000e+00	0.000000e+00	-2.810618e-01	-4.552970e-01	3.111875e-01	-1.530808e-17
