"      test"

"Time      "	"part5_q00.Q"	"part5_q01.Q"	"part5_q02.Q"	"part5_q04.Q"	".PART_5.CM_Position.X"	".PART_5.CM_Position.Y"	".PART_5.CM_Position.Z"
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	1.608123e-16	8.000000e-01	4.500000e-01	2.170966e-16
1.213307e-02	9.999798e-01	6.492964e-14	-6.352712e-03	3.308398e-14	7.999718e-01	4.500000e-01	4.446809e-03
2.426614e-02	9.999193e-01	1.303751e-13	-1.270483e-02	6.683003e-14	7.998870e-01	4.500000e-01	8.892667e-03
3.639922e-02	9.998184e-01	1.962169e-13	-1.905586e-02	1.012340e-13	7.997458e-01	4.500000e-01	1.333668e-02
4.853229e-02	9.996772e-01	2.622800e-13	-2.540536e-02	1.298542e-13	7.995482e-01	4.500000e-01	1.777801e-02
6.066536e-02	9.994957e-01	3.286412e-13	-3.175310e-02	1.594586e-13	7.992942e-01	4.500000e-01	2.221596e-02
7.279843e-02	9.992740e-01	3.887141e-13	-3.809880e-02	1.945917e-13	7.989839e-01	4.500000e-01	2.664980e-02
8.493151e-02	9.990120e-01	4.491371e-13	-4.444223e-02	2.303655e-13	7.986174e-01	4.500000e-01	3.107882e-02
9.706458e-02	9.987097e-01	5.181689e-13	-5.078312e-02	2.593461e-13	7.981948e-01	4.500000e-01	3.550232e-02
1.091977e-01	9.983673e-01	5.874252e-13	-5.712122e-02	2.890734e-13	7.977160e-01	4.500000e-01	3.991957e-02
1.213307e-01	9.979846e-01	6.478255e-13	-6.345627e-02	3.190998e-13	7.971813e-01	4.500000e-01	4.432987e-02
1.334638e-01	9.975618e-01	7.088713e-13	-6.978803e-02	3.561772e-13	7.965907e-01	4.500000e-01	4.873251e-02
1.455969e-01	9.970990e-01	7.767161e-13	-7.611623e-02	3.885578e-13	7.959444e-01	4.500000e-01	5.312679e-02
1.577299e-01	9.965960e-01	8.447488e-13	-8.244063e-02	4.217764e-13	7.952425e-01	4.500000e-01	5.751200e-02
1.698630e-01	9.960530e-01	9.055995e-13	-8.876096e-02	4.550535e-13	7.944850e-01	4.500000e-01	6.188743e-02
1.819961e-01	9.954699e-01	9.666304e-13	-9.507698e-02	4.889377e-13	7.936723e-01	4.500000e-01	6.625239e-02
1.941292e-01	9.948469e-01	1.034636e-12	-1.013884e-01	5.174592e-13	7.928043e-01	4.500000e-01	7.060618e-02
2.062622e-01	9.941840e-01	1.102724e-12	-1.076951e-01	5.469160e-13	7.918812e-01	4.500000e-01	7.494811e-02
2.183953e-01	9.934811e-01	1.163312e-12	-1.139967e-01	5.819352e-13	7.909033e-01	4.500000e-01	7.927747e-02
2.305284e-01	9.927384e-01	1.224064e-12	-1.202929e-01	6.176511e-13	7.898707e-01	4.500000e-01	8.359357e-02
2.426614e-01	9.919559e-01	1.291773e-12	-1.265836e-01	6.461282e-13	7.887836e-01	4.500000e-01	8.789573e-02
2.547945e-01	9.911337e-01	1.359493e-12	-1.328684e-01	6.754129e-13	7.876422e-01	4.500000e-01	9.218327e-02
2.669276e-01	9.902717e-01	1.419999e-12	-1.391472e-01	7.102269e-13	7.864466e-01	4.500000e-01	9.645549e-02
2.790607e-01	9.893701e-01	1.480586e-12	-1.454197e-01	7.458281e-13	7.851972e-01	4.500000e-01	1.007117e-01
2.911937e-01	9.884288e-01	1.547953e-12	-1.516856e-01	7.743088e-13	7.838940e-01	4.500000e-01	1.049513e-01
3.033268e-01	9.874480e-01	1.615263e-12	-1.579446e-01	8.033595e-13	7.825374e-01	4.500000e-01	1.091735e-01
3.154599e-01	9.864276e-01	1.675646e-12	-1.641966e-01	8.381219e-13	7.811276e-01	4.500000e-01	1.133777e-01
3.275930e-01	9.853678e-01	1.736044e-12	-1.704413e-01	8.735415e-13	7.796648e-01	4.500000e-01	1.175632e-01
3.397260e-01	9.842686e-01	1.803005e-12	-1.766784e-01	9.017437e-13	7.781493e-01	4.500000e-01	1.217293e-01
3.518591e-01	9.831301e-01	1.869864e-12	-1.829077e-01	9.308258e-13	7.765813e-01	4.500000e-01	1.258754e-01
3.639922e-01	9.819523e-01	1.930083e-12	-1.891289e-01	9.653597e-13	7.749612e-01	4.500000e-01	1.300009e-01
3.761252e-01	9.807352e-01	1.990256e-12	-1.953419e-01	1.000421e-12	7.732891e-01	4.500000e-01	1.341050e-01
3.882583e-01	9.794790e-01	2.056826e-12	-2.015462e-01	1.028718e-12	7.715654e-01	4.500000e-01	1.381872e-01
4.003914e-01	9.781837e-01	2.123190e-12	-2.077418e-01	1.057766e-12	7.697903e-01	4.500000e-01	1.422467e-01
4.125245e-01	9.768494e-01	2.183188e-12	-2.139283e-01	1.091895e-12	7.679643e-01	4.500000e-01	1.462830e-01
4.246575e-01	9.754761e-01	2.243076e-12	-2.201056e-01	1.126641e-12	7.660875e-01	4.500000e-01	1.502954e-01
4.367906e-01	9.740639e-01	2.309196e-12	-2.262733e-01	1.154857e-12	7.641603e-01	4.500000e-01	1.542832e-01
4.489237e-01	9.726128e-01	2.375007e-12	-2.324312e-01	1.183912e-12	7.621830e-01	4.500000e-01	1.582459e-01
4.610568e-01	9.711231e-01	2.434781e-12	-2.385791e-01	1.217785e-12	7.601560e-01	4.500000e-01	1.621828e-01
4.731898e-01	9.695946e-01	2.494348e-12	-2.447167e-01	1.252146e-12	7.580796e-01	4.500000e-01	1.660932e-01
4.853229e-01	9.680276e-01	2.559947e-12	-2.508439e-01	1.280322e-12	7.559541e-01	4.500000e-01	1.699766e-01
