"      test"

"Time      "	"part4_q0  "	"part4_q1  "	"part4_q2  "	"part4_q3  "	".PART_4.CM_Position.X"	".PART_4.CM_Position.Y"	".PART_4.CM_Position.Z"
0.000000e+00	1.000000e+00	0.000000e+00	0.000000e+00	2.551675e-12	7.500000e-01	-8.500000e-01	3.827559e-12
1.213307e-02	9.999798e-01	-6.352712e-03	2.535475e-12	2.567672e-12	7.500000e-01	-8.499718e-01	4.446809e-03
2.426614e-02	9.999193e-01	-1.270484e-02	2.519111e-12	2.583947e-12	7.500000e-01	-8.498870e-01	8.892667e-03
3.639922e-02	9.998184e-01	-1.905586e-02	2.502647e-12	2.599892e-12	7.500000e-01	-8.497458e-01	1.333668e-02
4.853229e-02	9.996772e-01	-2.540536e-02	2.486086e-12	2.615507e-12	7.500000e-01	-8.495482e-01	1.777802e-02
6.066536e-02	9.994957e-01	-3.175310e-02	2.469429e-12	2.631455e-12	7.500000e-01	-8.492942e-01	2.221596e-02
7.279843e-02	9.992740e-01	-3.809881e-02	2.452673e-12	2.647069e-12	7.500000e-01	-8.489839e-01	2.664981e-02
8.493151e-02	9.990120e-01	-4.444224e-02	2.435813e-12	2.662568e-12	7.500000e-01	-8.486174e-01	3.107883e-02
9.706458e-02	9.987097e-01	-5.078314e-02	2.418858e-12	2.678173e-12	7.500000e-01	-8.481948e-01	3.550233e-02
1.091977e-01	9.983672e-01	-5.712124e-02	2.401811e-12	2.693215e-12	7.500000e-01	-8.477160e-01	3.991958e-02
1.213307e-01	9.979846e-01	-6.345630e-02	2.384677e-12	2.708360e-12	7.500000e-01	-8.471813e-01	4.432989e-02
1.334638e-01	9.975618e-01	-6.978806e-02	2.367435e-12	2.723604e-12	7.500000e-01	-8.465907e-01	4.873253e-02
1.455969e-01	9.970989e-01	-7.611627e-02	2.350105e-12	2.738502e-12	7.500000e-01	-8.459444e-01	5.312681e-02
1.577299e-01	9.965960e-01	-8.244067e-02	2.332681e-12	2.753275e-12	7.500000e-01	-8.452425e-01	5.751203e-02
1.698630e-01	9.960530e-01	-8.876101e-02	2.315176e-12	2.768141e-12	7.500000e-01	-8.444850e-01	6.188747e-02
1.819961e-01	9.954699e-01	-9.507704e-02	2.297580e-12	2.782657e-12	7.500000e-01	-8.436722e-01	6.625243e-02
1.941292e-01	9.948469e-01	-1.013885e-01	2.279858e-12	2.797262e-12	7.500000e-01	-8.428043e-01	7.060623e-02
2.062622e-01	9.941840e-01	-1.076952e-01	2.262076e-12	2.811733e-12	7.500000e-01	-8.418812e-01	7.494816e-02
2.183953e-01	9.934811e-01	-1.139967e-01	2.244208e-12	2.825849e-12	7.500000e-01	-8.409033e-01	7.927752e-02
2.305284e-01	9.927384e-01	-1.202930e-01	2.226247e-12	2.840269e-12	7.500000e-01	-8.398707e-01	8.359364e-02
2.426614e-01	9.919559e-01	-1.265837e-01	2.208203e-12	2.854329e-12	7.500000e-01	-8.387836e-01	8.789580e-02
2.547945e-01	9.911337e-01	-1.328685e-01	2.190064e-12	2.868029e-12	7.500000e-01	-8.376422e-01	9.218334e-02
2.669276e-01	9.902717e-01	-1.391473e-01	2.171854e-12	2.882026e-12	7.500000e-01	-8.364466e-01	9.645557e-02
2.790607e-01	9.893700e-01	-1.454198e-01	2.153514e-12	2.895658e-12	7.500000e-01	-8.351972e-01	1.007118e-01
2.911937e-01	9.884288e-01	-1.516857e-01	2.135158e-12	2.909145e-12	7.500000e-01	-8.338940e-01	1.049514e-01
3.033268e-01	9.874479e-01	-1.579448e-01	2.116682e-12	2.922702e-12	7.500000e-01	-8.325374e-01	1.091736e-01
3.154599e-01	9.864276e-01	-1.641968e-01	2.098127e-12	2.936110e-12	7.500000e-01	-8.311276e-01	1.133778e-01
3.275930e-01	9.853678e-01	-1.704415e-01	2.079486e-12	2.949365e-12	7.500000e-01	-8.296648e-01	1.175633e-01
3.397260e-01	9.842686e-01	-1.766786e-01	2.060762e-12	2.962466e-12	7.500000e-01	-8.281493e-01	1.217294e-01
3.518591e-01	9.831300e-01	-1.829079e-01	2.041958e-12	2.975193e-12	7.500000e-01	-8.265813e-01	1.258756e-01
3.639922e-01	9.819522e-01	-1.891292e-01	2.023054e-12	2.988200e-12	7.500000e-01	-8.249611e-01	1.300011e-01
3.761252e-01	9.807352e-01	-1.953421e-01	2.004107e-12	3.000829e-12	7.500000e-01	-8.232890e-01	1.341052e-01
3.882583e-01	9.794789e-01	-2.015465e-01	1.985058e-12	3.013514e-12	7.500000e-01	-8.215653e-01	1.381874e-01
4.003914e-01	9.781836e-01	-2.077421e-01	1.965955e-12	3.026253e-12	7.500000e-01	-8.197903e-01	1.422469e-01
4.125245e-01	9.768493e-01	-2.139286e-01	1.946788e-12	3.038610e-12	7.500000e-01	-8.179642e-01	1.462832e-01
4.246575e-01	9.754760e-01	-2.201059e-01	1.927493e-12	3.050583e-12	7.500000e-01	-8.160874e-01	1.502956e-01
4.367906e-01	9.740638e-01	-2.262736e-01	1.908200e-12	3.062821e-12	7.500000e-01	-8.141602e-01	1.542834e-01
4.489237e-01	9.726128e-01	-2.324315e-01	1.888754e-12	3.074887e-12	7.500000e-01	-8.121829e-01	1.582461e-01
4.610568e-01	9.711230e-01	-2.385795e-01	1.869262e-12	3.086781e-12	7.500000e-01	-8.101559e-01	1.621830e-01
4.731898e-01	9.695945e-01	-2.447171e-01	1.849699e-12	3.098500e-12	7.500000e-01	-8.080795e-01	1.660935e-01
4.853229e-01	9.680275e-01	-2.508443e-01	1.830065e-12	3.110258e-12	7.500000e-01	-8.059540e-01	1.699769e-01
4.974560e-01	9.664219e-01	-2.569607e-01	1.810385e-12	3.121623e-12	7.500000e-01	-8.037798e-01	1.738327e-01
5.095890e-01	9.647778e-01	-2.630661e-01	1.790548e-12	3.133022e-12	7.500000e-01	-8.015574e-01	1.776603e-01
5.217221e-01	9.630954e-01	-2.691603e-01	1.770708e-12	3.144239e-12	7.500000e-01	-7.992869e-01	1.814589e-01
5.338552e-01	9.613747e-01	-2.752431e-01	1.750831e-12	3.155271e-12	7.500000e-01	-7.969689e-01	1.852282e-01
5.459883e-01	9.596157e-01	-2.813141e-01	1.730857e-12	3.166545e-12	7.500000e-01	-7.946037e-01	1.889674e-01
5.581213e-01	9.578187e-01	-2.873732e-01	1.710772e-12	3.177416e-12	7.500000e-01	-7.921917e-01	1.926760e-01
5.702544e-01	9.559836e-01	-2.934201e-01	1.690674e-12	3.188098e-12	7.500000e-01	-7.897333e-01	1.963534e-01
5.823875e-01	9.541106e-01	-2.994546e-01	1.670522e-12	3.198800e-12	7.500000e-01	-7.872289e-01	1.999989e-01
5.945205e-01	9.521996e-01	-3.054764e-01	1.650259e-12	3.209308e-12	7.500000e-01	-7.846789e-01	2.036122e-01
6.066536e-01	9.502510e-01	-3.114853e-01	1.629948e-12	3.219409e-12	7.500000e-01	-7.820838e-01	2.071925e-01
6.187867e-01	9.482646e-01	-3.174812e-01	1.609651e-12	3.229734e-12	7.500000e-01	-7.794440e-01	2.107393e-01
6.309198e-01	9.462406e-01	-3.234636e-01	1.589203e-12	3.239860e-12	7.500000e-01	-7.767599e-01	2.142521e-01
6.430528e-01	9.441791e-01	-3.294325e-01	1.568714e-12	3.249783e-12	7.500000e-01	-7.740320e-01	2.177303e-01
6.551859e-01	9.420803e-01	-3.353875e-01	1.548069e-12	3.259712e-12	7.500000e-01	-7.712607e-01	2.211734e-01
6.673190e-01	9.399441e-01	-3.413285e-01	1.527516e-12	3.269226e-12	7.500000e-01	-7.684464e-01	2.245808e-01
6.794521e-01	9.377707e-01	-3.472552e-01	1.506774e-12	3.278949e-12	7.500000e-01	-7.655897e-01	2.279520e-01
6.915851e-01	9.355602e-01	-3.531673e-01	1.486081e-12	3.288462e-12	7.500000e-01	-7.626910e-01	2.312865e-01
7.037182e-01	9.333127e-01	-3.590647e-01	1.465372e-12	3.297763e-12	7.500000e-01	-7.597508e-01	2.345838e-01
7.158513e-01	9.310282e-01	-3.649471e-01	1.444485e-12	3.307057e-12	7.500000e-01	-7.567695e-01	2.378433e-01
7.279843e-01	9.287070e-01	-3.708144e-01	1.423658e-12	3.315927e-12	7.500000e-01	-7.537477e-01	2.410645e-01
7.401174e-01	9.263491e-01	-3.766661e-01	1.402633e-12	3.324786e-12	7.500000e-01	-7.506858e-01	2.442470e-01
7.522505e-01	9.239546e-01	-3.825022e-01	1.381645e-12	3.333631e-12	7.500000e-01	-7.475844e-01	2.473903e-01
7.643836e-01	9.215236e-01	-3.883224e-01	1.360629e-12	3.342365e-12	7.500000e-01	-7.444440e-01	2.504938e-01
7.765166e-01	9.190562e-01	-3.941265e-01	1.339484e-12	3.350966e-12	7.500000e-01	-7.412650e-01	2.535571e-01
7.886497e-01	9.165526e-01	-3.999142e-01	1.318307e-12	3.359340e-12	7.500000e-01	-7.380480e-01	2.565797e-01
8.007828e-01	9.140128e-01	-4.056854e-01	1.297156e-12	3.367485e-12	7.500000e-01	-7.347935e-01	2.595612e-01
8.129159e-01	9.114369e-01	-4.114398e-01	1.275814e-12	3.375602e-12	7.500000e-01	-7.315021e-01	2.625010e-01
8.250489e-01	9.088252e-01	-4.171771e-01	1.254607e-12	3.383486e-12	7.500000e-01	-7.281743e-01	2.653988e-01
8.371820e-01	9.061776e-01	-4.228972e-01	1.233216e-12	3.391537e-12	7.500000e-01	-7.248105e-01	2.682540e-01
8.493151e-01	9.034944e-01	-4.285999e-01	1.211778e-12	3.399148e-12	7.500000e-01	-7.214115e-01	2.710663e-01
8.614481e-01	9.007756e-01	-4.342849e-01	1.190339e-12	3.406721e-12	7.500000e-01	-7.179777e-01	2.738352e-01
8.735812e-01	8.980213e-01	-4.399519e-01	1.168848e-12	3.414051e-12	7.500000e-01	-7.145096e-01	2.765604e-01
8.857143e-01	8.952317e-01	-4.456009e-01	1.147346e-12	3.421535e-12	7.500000e-01	-7.110079e-01	2.792412e-01
8.978474e-01	8.924069e-01	-4.512315e-01	1.125774e-12	3.428572e-12	7.500000e-01	-7.074731e-01	2.818775e-01
9.099804e-01	8.895470e-01	-4.568436e-01	1.104171e-12	3.435559e-12	7.500000e-01	-7.039058e-01	2.844687e-01
9.221135e-01	8.866522e-01	-4.624369e-01	1.082470e-12	3.442294e-12	7.500000e-01	-7.003065e-01	2.870145e-01
9.342466e-01	8.837225e-01	-4.680112e-01	1.060705e-12	3.449170e-12	7.500000e-01	-6.966759e-01	2.895144e-01
9.463796e-01	8.807582e-01	-4.735663e-01	1.039120e-12	3.455787e-12	7.500000e-01	-6.930145e-01	2.919682e-01
9.585127e-01	8.777592e-01	-4.791020e-01	1.017225e-12	3.462341e-12	7.500000e-01	-6.893229e-01	2.943753e-01
9.706458e-01	8.747259e-01	-4.846181e-01	9.953631e-13	3.468634e-12	7.500000e-01	-6.856017e-01	2.967356e-01
9.827789e-01	8.716582e-01	-4.901143e-01	9.736772e-13	3.474856e-12	7.500000e-01	-6.818516e-01	2.990485e-01
9.949119e-01	8.685563e-01	-4.955905e-01	9.516535e-13	3.480812e-12	7.500000e-01	-6.780731e-01	3.013138e-01
1.007045e+00	8.654204e-01	-5.010464e-01	9.297551e-13	3.486884e-12	7.500000e-01	-6.742668e-01	3.035310e-01
1.019178e+00	8.622506e-01	-5.064818e-01	9.077897e-13	3.492684e-12	7.500000e-01	-6.704333e-01	3.057000e-01
1.031311e+00	8.590471e-01	-5.118966e-01	8.857826e-13	3.498210e-12	7.500000e-01	-6.665733e-01	3.078203e-01
1.043444e+00	8.558099e-01	-5.172905e-01	8.638739e-13	3.503650e-12	7.500000e-01	-6.626874e-01	3.098916e-01
1.055577e+00	8.525392e-01	-5.226633e-01	8.417438e-13	3.509190e-12	7.500000e-01	-6.587761e-01	3.119137e-01
1.067710e+00	8.492351e-01	-5.280148e-01	8.197620e-13	3.514259e-12	7.500000e-01	-6.548402e-01	3.138861e-01
1.079843e+00	8.458979e-01	-5.333448e-01	7.976014e-13	3.519419e-12	7.500000e-01	-6.508803e-01	3.158087e-01
1.091977e+00	8.425276e-01	-5.386532e-01	7.753994e-13	3.524479e-12	7.500000e-01	-6.468969e-01	3.176811e-01
1.104110e+00	8.391244e-01	-5.439396e-01	7.531769e-13	3.529061e-12	7.500000e-01	-6.428908e-01	3.195031e-01
1.116243e+00	8.356884e-01	-5.492039e-01	7.310768e-13	3.533723e-12	7.500000e-01	-6.388626e-01	3.212743e-01
1.128376e+00	8.322198e-01	-5.544459e-01	7.087541e-13	3.538274e-12	7.500000e-01	-6.348129e-01	3.229946e-01
1.140509e+00	8.287187e-01	-5.596653e-01	6.864712e-13	3.542710e-12	7.500000e-01	-6.307423e-01	3.246636e-01
1.152642e+00	8.251853e-01	-5.648621e-01	6.642486e-13	3.547028e-12	7.500000e-01	-6.266515e-01	3.262811e-01
1.164775e+00	8.216197e-01	-5.700360e-01	6.419804e-13	3.551039e-12	7.500000e-01	-6.225413e-01	3.278470e-01
1.176908e+00	8.180221e-01	-5.751868e-01	6.196835e-13	3.555107e-12	7.500000e-01	-6.184121e-01	3.293609e-01
1.189041e+00	8.143926e-01	-5.803143e-01	5.973748e-13	3.558863e-12	7.500000e-01	-6.142647e-01	3.308226e-01
1.201174e+00	8.107314e-01	-5.854183e-01	5.749412e-13	3.562486e-12	7.500000e-01	-6.100998e-01	3.322319e-01
1.213307e+00	8.070386e-01	-5.904986e-01	5.525272e-13	3.566151e-12	7.500000e-01	-6.059180e-01	3.335886e-01
1.225440e+00	8.033145e-01	-5.955551e-01	5.301493e-13	3.569493e-12	7.500000e-01	-6.017199e-01	3.348926e-01
1.237573e+00	7.995591e-01	-6.005875e-01	5.076909e-13	3.572691e-12	7.500000e-01	-5.975063e-01	3.361436e-01
1.249706e+00	7.957726e-01	-6.055956e-01	4.852995e-13	3.575915e-12	7.500000e-01	-5.932778e-01	3.373415e-01
1.261840e+00	7.919551e-01	-6.105793e-01	4.627203e-13	3.578807e-12	7.500000e-01	-5.890350e-01	3.384860e-01
1.273973e+00	7.881069e-01	-6.155384e-01	4.403732e-13	3.581542e-12	7.500000e-01	-5.847788e-01	3.395770e-01
1.286106e+00	7.842281e-01	-6.204726e-01	4.178643e-13	3.584288e-12	7.500000e-01	-5.805096e-01	3.406144e-01
1.298239e+00	7.803189e-01	-6.253818e-01	3.953420e-13	3.586867e-12	7.500000e-01	-5.762283e-01	3.415981e-01
1.310372e+00	7.763793e-01	-6.302659e-01	3.728192e-13	3.589272e-12	7.500000e-01	-5.719354e-01	3.425278e-01
1.322505e+00	7.724097e-01	-6.351246e-01	3.503086e-13	3.591502e-12	7.500000e-01	-5.676317e-01	3.434035e-01
1.334638e+00	7.684101e-01	-6.399577e-01	3.276807e-13	3.593720e-12	7.500000e-01	-5.633179e-01	3.442250e-01
1.346771e+00	7.643808e-01	-6.447651e-01	3.052312e-13	3.595582e-12	7.500000e-01	-5.589946e-01	3.449922e-01
1.358904e+00	7.603218e-01	-6.495466e-01	2.826875e-13	3.597424e-12	7.500000e-01	-5.546625e-01	3.457051e-01
1.371037e+00	7.562334e-01	-6.543020e-01	2.600588e-13	3.599237e-12	7.500000e-01	-5.503223e-01	3.463635e-01
1.383170e+00	7.521157e-01	-6.590311e-01	2.375006e-13	3.600849e-12	7.500000e-01	-5.459746e-01	3.469673e-01
1.395303e+00	7.479690e-01	-6.637337e-01	2.150252e-13	3.602254e-12	7.500000e-01	-5.416203e-01	3.475165e-01
1.407436e+00	7.437933e-01	-6.684097e-01	1.923481e-13	3.603449e-12	7.500000e-01	-5.372599e-01	3.480111e-01
1.419569e+00	7.395888e-01	-6.730590e-01	1.697742e-13	3.604757e-12	7.500000e-01	-5.328941e-01	3.484508e-01
